ANTIQUEWHITE
AQUA
AQUAMARINE
AZURE
BAKER'SCHOCOLATE
BEIGE
BISQUE
BLACK
BLANCHEDALMOND
BLUE
BRASS
BRIGHTGOLD
BRONZE
BRONZEII
BROWN
BURLYWOOD
CHARTREUSE
CHOCOLATE
COOLCOPPER
COPPER
CORAL
CORNSILK
CSSGOLD
CYAN
DARKBROWN
DARKGOLDENROD
DARKGREEN
DARKGREENCOPPER
DARKKHAKI
DARKOLIVEGREEN
DARKORANGE
DARKORCHID
DARKPURPLE
DARKSALMON
DARKSEAGREEN
DARKSLATEGRAY
DARKSLATEGREY
DARKTAN
DARKTURQUOISE
DARKVIOLET
DARKWOOD
DEEPPINK
FIREBRICK
FLESH
FLORALWHITE
FORESTGREEN
FREESPEECHAQUAMARINE
FREESPEECHGREEN
FREESPEECHGREY
FREESPEECHMAGENTA
FREESPEECHRED
GAINSBORO
GHOSTWHITE
GOLD
GOLDENROD
GREEN
GREENYELLOW
GREENYELLOW[SIC]
GREY
HONEYDEW
HOTPINK
HUNTERGREEN[SIC]
INDIANRED
IVORY
KHAKI
LAVENDER
LAVENDERBLUSH
LAWNGREEN
LEMONCHIFFON
LIGHTCORAL
LIGHTCYAN
LIGHTGOLDENROD
LIGHTGOLDENRODYELLOW
LIGHTGRAY
LIGHTPINK
LIGHTSALMON
LIGHTSEAGREEN
LIGHTSLATEGREY
LIGHTWOOD
LIGHTYELLOW
LIMEGREEN
LINEN
MAGENTA
MAROON
MEDIUMFORESTGREEN
MEDIUMGOLDENROD
MEDIUMORCHID
MEDIUMPURPLE
MEDIUMSEAGREEN
MEDIUMSPRINGGREEN
MEDIUMTURQUOISE
MEDIUMVIOLETRED
MEDIUMWOOD
MINTCREAM
MISTYROSE
MOCCASIN
NAVAJOWHITE
NEONPINK
NEWTAN
OLDGOLD
OLDLACE
OLIVE
OLIVEDRAB
ORANGE
ORANGERED
ORCHID
PALEGOLDENROD
PALEGREEN
PALETURQUOISE
PALEVIOLETRED
PAPAYAWHIP
PEACHPUFF
PERU
PINK
PLUM
PURPLE
QUARTZ
RED
ROSYBROWN
SADDLEBROWN
SALMON
SANDYBROWN
SCARLET
SEAGREEN
SEASHELL
SEMI-SWEETCHOCOLATE
SIENNA
SILVER
SLATEGRAY
SNOW
SPICYPINK
SPRINGGREEN
SUMMERSKY
TAN
TEAL
THISTLE
TOMATO
TURQUOISE
VERYLIGHTGREY
VIOLET
VIOLETRED
WHEAT
YELLOW
YELLOWGREEN
